F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,Y
45,K2,201080,R4,14,Q2,P6,M2,caucasian,Male,0,0,40,USA,1
36,K3,207157,R6,10,Q3,P5,M5,caucasian,Female,0,0,40,Mexico,0
39,K4,235485,R7,12,Q1,P2,M1,caucasian,Male,0,0,42,USA,0
46,K1,102628,R4,14,Q7,P12,M5,caucasian,Male,0,0,40,USA,0
18,K3,25828,R3,7,Q1,P3,M4,caucasian,Male,0,0,16,USA,0
66,K5,54826,R8,11,Q7,P4,M1,caucasian,Female,0,0,20,USA,0
27,K3,124953,R2,9,Q1,P5,M1,caucasian,Male,0,1980,40,USA,0
28,K1,175325,R2,9,Q2,P12,M2,caucasian,Male,0,0,40,USA,0
51,K3,96062,R6,10,Q2,P6,M2,caucasian,Male,0,1977,40,USA,1
27,K3,428030,R1,13,Q1,P7,M1,caucasian,Male,0,0,50,USA,0
28,K1,149624,R1,13,Q2,P4,M2,caucasian,Male,0,0,40,USA,1
27,K3,253814,R2,9,Q4,P6,M5,caucasian,Female,0,0,25,USA,0
21,K3,312956,R2,9,Q1,P7,M4,black,Male,0,0,40,USA,0
34,K3,483777,R2,9,Q1,P3,M1,black,Male,0,0,40,USA,0
18,K3,183930,R2,9,Q1,P5,M4,caucasian,Male,0,0,12,USA,0
33,K3,37274,R1,13,Q2,P4,M2,caucasian,Male,0,0,65,USA,0
44,K5,181344,R6,10,Q2,P2,M2,black,Male,0,0,38,USA,1
43,K3,114580,R6,10,Q3,P1,M1,caucasian,Female,0,0,40,USA,0
30,K3,633742,R6,10,Q1,P7,M1,black,Male,0,0,45,USA,0
40,K3,286370,R9,4,Q2,P10,M2,caucasian,Male,0,0,40,Mexico,1
37,K4,29054,R6,10,Q2,P1,M2,caucasian,Male,0,0,42,USA,1
34,K3,304030,R2,9,Q2,P1,M2,black,Male,0,0,40,USA,0
41,K2,143129,R1,13,Q3,P2,M1,caucasian,Female,0,0,40,USA,0
53,,135105,R1,13,Q3,,M1,caucasian,Female,0,0,50,USA,0
31,K3,99928,R4,14,Q2,P4,M3,caucasian,Female,0,0,50,USA,0
58,K1,109567,R10,16,Q2,P4,M2,caucasian,Male,0,0,1,USA,1
38,K3,155222,R6,10,Q3,P10,M1,black,Female,0,0,28,USA,0
24,K3,159567,R6,10,Q2,P10,M2,caucasian,Male,0,0,40,USA,0
41,K5,523910,R1,13,Q2,P7,M2,black,Male,0,0,40,USA,0
47,K3,120939,R6,10,Q2,P11,M2,caucasian,Male,0,0,45,USA,0
41,K4,130760,R1,13,Q2,P11,M2,caucasian,Male,0,0,24,USA,0
23,K3,197387,R12,3,Q2,P8,M6,caucasian,Male,0,0,40,Mexico,0
36,K3,99374,R6,10,Q3,P7,M1,caucasian,Male,0,0,40,USA,0
40,K4,56795,R4,14,Q1,P2,M1,caucasian,Female,14084,0,55,USA,1
35,K3,138992,R4,14,Q2,P4,M6,caucasian,Male,7298,0,40,USA,1
24,K2,32921,R2,9,Q1,P6,M1,caucasian,Male,0,0,40,USA,0
26,K3,397317,R4,14,Q1,P4,M1,caucasian,Female,0,1876,40,USA,0
19,,170653,R2,9,Q1,,M4,caucasian,Male,0,0,40,Italy,0
51,K3,259323,R1,13,Q2,P2,M2,caucasian,Male,0,0,50,USA,1
42,K5,254817,R6,10,Q1,P4,M1,caucasian,Female,0,1340,40,USA,0
37,K1,48211,R2,9,Q3,P1,M5,caucasian,Female,0,0,35,USA,0
18,K3,140164,R3,7,Q1,P6,M4,caucasian,Female,0,0,40,USA,0
36,K3,128757,R1,13,Q2,P5,M2,black,Male,7298,0,36,USA,1
35,K3,36270,R2,9,Q3,P7,M1,caucasian,Male,0,0,60,USA,0
58,K6,210563,R2,9,Q2,P6,M3,caucasian,Female,15024,0,35,USA,1
17,K3,65368,R3,7,Q1,P6,M4,caucasian,Female,0,0,12,USA,0
44,K5,160943,R2,9,Q2,P8,M2,black,Male,0,0,40,USA,0
37,K3,208358,R2,9,Q2,P7,M2,caucasian,Male,0,0,40,USA,1
35,K3,153790,R6,10,Q1,P6,M1,american,Female,0,0,40,USA,0
60,K3,85815,R2,9,Q2,P7,M2,asian,Male,0,0,40,USA,0
54,K6,125417,R9,4,Q2,P10,M2,caucasian,Male,0,0,40,USA,1
37,K3,635913,R1,13,Q1,P2,M1,black,Male,0,0,60,USA,1
50,K3,313321,R7,12,Q3,P6,M1,caucasian,Female,0,0,40,USA,0
38,K3,182609,R1,13,Q2,P6,M2,caucasian,Male,0,0,50,Poland,0
45,K3,109434,R1,13,Q2,P4,M2,caucasian,Male,0,0,55,USA,0
25,K3,255004,R13,6,Q1,P7,M1,caucasian,Male,0,0,40,USA,0
31,K3,197860,R6,10,Q2,P3,M2,caucasian,Male,0,0,40,USA,0
64,,187656,R14,2,Q3,,M1,caucasian,Male,0,0,40,USA,0
90,K3,51744,R2,9,Q1,P5,M1,black,Male,0,2206,40,USA,0
54,K3,176681,R2,9,Q2,P1,M2,black,Male,0,0,20,USA,0
53,K5,140359,R15,1,Q1,P10,M1,caucasian,Female,0,0,35,USA,0
18,K3,243313,R2,9,Q1,P6,M4,caucasian,Female,0,0,40,USA,0
60,,24215,R13,6,Q3,,M1,american,Female,0,0,10,USA,0
66,K2,167687,R2,9,Q2,P9,M2,caucasian,Male,1409,0,50,USA,0
75,K3,314209,R8,11,Q7,P1,M1,caucasian,Female,0,0,20,Columbia,0
65,K3,176796,R2,9,Q3,P1,M1,caucasian,Female,0,0,40,USA,0
35,K3,538583,R3,7,Q5,P8,M1,black,Male,3674,0,40,USA,0
41,K3,130408,R2,9,Q3,P6,M5,black,Female,0,0,38,USA,0
25,K3,159732,R6,10,Q1,P1,M1,caucasian,Male,0,0,42,USA,0
33,K3,110978,R6,10,Q3,P7,M6,other,Female,0,0,40,USA,0
28,K3,76714,R11,15,Q1,P4,M1,caucasian,Male,0,0,55,USA,1
59,K1,268700,R2,9,Q2,P5,M2,caucasian,Male,0,0,40,USA,0
40,K1,170525,R6,10,Q1,P1,M1,caucasian,Female,0,0,38,USA,0
41,K3,180138,R1,13,Q2,P2,M2,caucasian,Male,0,0,50,Iran,1
38,K5,115076,R4,14,Q2,P2,M2,caucasian,Male,0,0,70,USA,1
23,K3,115458,R2,9,Q1,P8,M4,caucasian,Male,0,0,40,USA,0
40,K3,347890,R1,13,Q2,P4,M2,caucasian,Male,0,0,40,USA,1
41,K2,196001,R2,9,Q2,P5,M3,caucasian,Female,0,0,20,USA,0
24,K1,273905,R7,12,Q2,P12,M2,caucasian,Male,0,0,50,USA,0
20,,119156,R6,10,Q1,,M4,caucasian,Male,0,0,20,USA,0
38,K3,179488,R6,10,Q3,P7,M1,caucasian,Male,0,1741,40,USA,0
56,K3,203580,R2,9,Q2,P1,M2,caucasian,Male,0,0,35,,0
58,K3,236596,R2,9,Q2,P1,M2,caucasian,Male,0,0,45,USA,1
32,K3,183916,R2,9,Q1,P5,M1,caucasian,Female,0,0,34,USA,0
40,K3,207578,R7,12,Q2,P11,M2,caucasian,Male,0,1977,60,USA,1
45,K3,153141,R2,9,Q2,P1,M2,caucasian,Male,0,0,40,,0
41,K3,112763,R11,15,Q2,P4,M3,caucasian,Female,0,0,40,USA,1
42,K3,390781,R1,13,Q2,P1,M3,black,Female,0,0,40,USA,0
59,K5,171328,R13,6,Q7,P5,M5,black,Female,0,0,30,USA,0
19,K5,27382,R6,10,Q1,P1,M4,caucasian,Male,0,0,40,USA,0
58,K3,259014,R6,10,Q1,P8,M1,caucasian,Male,0,0,20,USA,0
42,K2,303044,R2,9,Q2,P9,M2,asian,Male,0,0,40,Cambodia,1
20,K3,117789,R2,9,Q1,P5,M4,caucasian,Female,0,0,40,USA,0
32,K3,172579,R2,9,Q5,P5,M1,caucasian,Female,0,0,30,USA,0
45,K3,187666,R8,11,Q7,P2,M1,caucasian,Female,0,0,45,USA,0
50,K3,204518,R9,4,Q3,P7,M1,caucasian,Male,0,0,40,USA,0
36,K3,150042,R1,13,Q3,P4,M4,caucasian,Female,0,0,40,USA,0
45,K3,98092,R2,9,Q2,P6,M2,caucasian,Male,0,0,60,USA,0
17,K3,245918,R3,7,Q1,P5,M4,caucasian,Male,0,0,12,USA,0
59,K3,146013,R6,10,Q2,P6,M2,caucasian,Male,4064,0,40,USA,0
26,K3,378322,R3,7,Q2,P7,M2,caucasian,Male,0,0,40,USA,0
37,K6,257295,R6,10,Q2,P2,M2,asian,Male,0,0,75,Thailand,1
19,,218956,R6,10,Q1,,M4,caucasian,Male,0,0,24,Canada,0
64,K3,21174,R2,9,Q2,P2,M2,caucasian,Male,0,0,40,USA,1
33,K3,185480,R1,13,Q1,P4,M1,caucasian,Female,0,0,45,USA,0
33,K3,222205,R2,9,Q2,P7,M3,caucasian,Female,0,0,40,USA,1
61,K3,69867,R2,9,Q2,P2,M2,caucasian,Male,0,0,40,USA,1
17,K3,191260,R5,5,Q1,P5,M4,caucasian,Male,1055,0,24,USA,0
50,K2,30653,R4,14,Q2,P9,M2,caucasian,Male,2407,0,98,USA,0
27,K5,209109,R4,14,Q1,P4,M4,caucasian,Male,0,0,35,USA,0
30,K3,70377,R2,9,Q3,P4,M4,caucasian,Female,0,0,40,USA,0
43,K3,477983,R2,9,Q2,P3,M2,black,Male,0,0,40,USA,0
44,K3,170924,R6,10,Q2,P7,M2,caucasian,Male,7298,0,40,USA,1
35,K3,190174,R6,10,Q1,P2,M1,caucasian,Female,0,0,40,USA,0
25,K3,193787,R6,10,Q1,P11,M4,caucasian,Female,0,0,40,USA,0
24,K3,279472,R6,10,Q2,P10,M3,caucasian,Female,7298,0,48,USA,1
22,K3,34918,R1,13,Q1,P4,M1,caucasian,Female,0,0,15,Germany,0
42,K5,97688,R6,10,Q2,P7,M2,caucasian,Male,5178,0,40,USA,1
34,K3,175413,R7,12,Q3,P6,M5,black,Female,0,0,45,USA,0
60,K3,173960,R1,13,Q3,P4,M1,caucasian,Female,0,0,42,USA,0
21,K3,205759,R2,9,Q1,P3,M4,caucasian,Male,0,0,40,USA,0
57,K4,425161,R4,14,Q2,P6,M2,caucasian,Male,15024,0,40,USA,1
41,K3,220531,R11,15,Q2,P4,M2,caucasian,Male,0,0,60,USA,1
50,K3,176609,R6,10,Q3,P5,M1,caucasian,Male,0,0,45,USA,0
25,K3,371987,R1,13,Q1,P2,M1,caucasian,Female,0,0,40,USA,0
50,K3,193884,R9,4,Q2,P7,M2,caucasian,Male,0,0,40,Ecuador,0
36,K3,200352,R1,13,Q2,P4,M2,caucasian,Male,0,0,45,USA,0
31,K3,127595,R2,9,Q3,P4,M1,caucasian,Female,0,0,40,USA,0
29,K5,220419,R1,13,Q1,P12,M1,caucasian,Male,0,0,56,USA,0
21,K3,231931,R6,10,Q1,P6,M4,caucasian,Male,0,0,45,USA,0
27,K3,248402,R1,13,Q1,P11,M5,black,Female,0,0,40,USA,0
65,K3,111095,R2,9,Q2,P8,M2,caucasian,Male,0,0,16,USA,0
37,K6,57424,R1,13,Q3,P6,M1,caucasian,Female,0,0,60,USA,0
39,,157443,R4,14,Q2,,M3,asian,Female,3464,0,40,,0
24,K3,278130,R2,9,Q1,P7,M4,caucasian,Male,0,0,40,USA,0
38,K3,169469,R2,9,Q3,P6,M1,caucasian,Male,0,0,80,USA,0
48,K3,146268,R1,13,Q2,P1,M2,caucasian,Male,7688,0,40,USA,1
21,K3,153718,R6,10,Q1,P5,M1,asian,Female,0,0,25,USA,0
31,K3,217460,R2,9,Q2,P8,M2,caucasian,Male,0,0,45,USA,1
55,K3,238638,R2,9,Q2,P6,M2,caucasian,Male,4386,0,40,USA,1
24,K3,303296,R6,10,Q2,P1,M3,asian,Female,0,0,40,Laos,0
43,K3,173321,R2,9,Q3,P1,M1,caucasian,Female,0,0,40,USA,0
26,K3,193945,R7,12,Q1,P11,M1,caucasian,Male,0,0,45,USA,0
46,K3,83082,R7,12,Q1,P4,M1,caucasian,Female,0,0,33,USA,0
35,K3,193815,R7,12,Q2,P1,M2,caucasian,Male,0,0,40,USA,1
41,K6,34987,R6,10,Q2,P9,M2,caucasian,Male,0,0,54,USA,1
26,K3,59306,R1,13,Q1,P6,M1,caucasian,Male,0,0,40,USA,0
34,K3,142897,R4,14,Q2,P2,M2,asian,Male,7298,0,35,Taiwan,1
19,,860348,R6,10,Q1,,M4,black,Female,0,0,25,USA,0
36,K2,205607,R1,13,Q3,P4,M1,black,Female,0,0,40,USA,1
22,K3,199698,R6,10,Q1,P6,M4,caucasian,Male,0,0,15,USA,0
24,K3,191954,R6,10,Q1,P10,M1,caucasian,Male,0,0,40,USA,0
77,K2,138714,R6,10,Q2,P6,M2,caucasian,Male,0,0,40,USA,0
22,K3,399087,R12,3,Q2,P10,M6,caucasian,Female,0,0,40,Mexico,0
29,K3,423158,R6,10,Q1,P11,M1,caucasian,Female,0,0,40,USA,0
62,K3,159841,R2,9,Q7,P5,M1,caucasian,Female,0,0,24,USA,0
39,K2,174308,R2,9,Q2,P2,M2,caucasian,Male,0,0,40,USA,0
43,K3,50356,R6,10,Q2,P7,M2,caucasian,Male,0,1485,50,USA,0
35,K3,186110,R2,9,Q3,P8,M1,caucasian,Male,0,0,45,USA,0
29,K3,200381,R3,7,Q1,P2,M1,caucasian,Female,0,0,40,USA,0
76,K2,174309,R4,14,Q2,P7,M2,caucasian,Male,0,0,10,USA,0
63,K2,78383,R2,9,Q2,P9,M2,caucasian,Male,0,0,45,USA,0
23,,211601,R8,11,Q1,,M4,black,Female,0,0,15,USA,0
43,K3,187728,R6,10,Q2,P4,M3,caucasian,Female,0,1887,50,USA,1
58,K2,321171,R2,9,Q2,P3,M2,caucasian,Male,0,0,40,USA,0
66,K3,127921,R2,9,Q1,P8,M1,caucasian,Male,2050,0,55,USA,0
41,K3,206565,R6,10,Q1,P7,M1,black,Male,0,0,45,USA,0
26,K3,224563,R1,13,Q1,P1,M1,caucasian,Male,0,0,40,USA,0
47,K3,178686,R8,11,Q1,P5,M1,caucasian,Male,0,0,40,USA,0
55,K5,98545,R13,6,Q2,P1,M2,caucasian,Male,0,0,40,USA,0
